City Name,Year,Total No. of Live Births (in Thousands)-2020-21,No. of Deaths - Total (in Thousands)-2020-21,No. of Deaths - Male (in Thousands)-2020-21,No. of Deaths - Female (in Thousands)-2020-21,No. of Deaths - Infants (0-1 year) (in Thousands)-2020-21,No. of Deaths - Children (1-5 years) (in Thousands)-2020-21,No. of Deaths - age above 5 years (in Thousands)-2020-21
D09-Mortality,Jan 2020 - Dec 2020,22203.0,17993.0,10819.0,7174.0,540.0,60.0,17393.0
D09-Mortality,Jan 2021 - Nov 2021,17347.0,16818.0,9868.0,6950.0,345.0,70.0,16403.0
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
