City Name,Year,Total No. of Live Births (in Thousands)-2020-21,No. of Deaths - Total (in Thousands)-2020-21,No. of Deaths - Male (in Thousands)-2020-21,No. of Deaths - Female (in Thousands)-2020-21,No. of Deaths - Infants (0-1 year) (in Thousands)-2020-21,No. of Deaths - Children (1-5 years) (in Thousands)-2020-21,No. of Deaths - age above 5 years (in Thousands)-2020-21
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
D09-Mortality,,,,,,,,
